Object Unique ID,Level,File name,File use,Type of Resource,Language,Title,Variant,Variant.1,Variant.2,Corporate:Creator,Corporate:enacting jurisdiction,Corporate:issuing body,Corporate:issuing body.1,Corporate:issuing body.2,Date:creation,Date:begin,Date:end,Identifier:OCLC number,bib,Note:,Note:.1,Note:.2,Note:.3,Note:.4,Note:.5,Note:.6,Note:description,Note:material details,Note:physical description,Note:publication,Person:Creator,Person:author,Person:issuing body,Person:issuing body.1,bibex,FAST Name,FAST Corporate,FAST Conference,FAST Topic,FAST Geographic,FAST Genre
N65537#179,Object,,,text,spa  - Spanish; Castilian ,"Las graves necesidades del erario, por la insuficiencia de las menguadas contribuciones existentes, y por encontrar agotados y arruinados los ramos mas productivos, y empeñada la Nacion por la insaciable y devoradora administracion de los Gobiernos anteriores; sin crédito ni recursos con que cubrir la Lista militar",Circular no. 10,,,,Mexico,"Mexico, Supremo Poder Ejecutivo (1823-1824)","Mexico, Secretaría de Hacienda",,1823,1823-01-01,1823-12-31,1001314394,b9502466,Type-signed: Arrillaga,Title from first lines of text,Dated at end: México 28 de Junio de 1823,At head of title: Ministerio de Hacienda. Núm. 10. Circular,,,,"Circular issued by the Ministerio de Hacienda during the Supremo Poder Ejecutivo government declaring the government's desperate need for funds, and consequently for taxes",text,"1 sheet (3 unnumbered pages) ; 30 x 43 cm, folded to 31 x 22 cm",Mexico : publisher not identified,,,"Arrillaga, Francisco de",,b95024669,,,,Politics and government | Taxation--Law and legislation,Mexico,History | Sources
N65537#178,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Presidente de la República Mexicana se ha servido dirigirme el decreto que sigue ... el Congreso general ha decretado ... ""Se observará provisionalmente la siguiente ley orgánica de la Corte Marcial",,,,,Mexico,"Mexico, President (1837-1839 : Bustamante)","Mexico, Congreso","Mexico, Ministerio de lo Interior",1837,1837-01-01,1837-12-31,1004427750,b9585323,At head of sheet: Ministerio de lo Interior,"""México Abril 27 de 1837.""",Signed: Peña y Peña,Title from first lines of text,"Special Collections copy with manuscript note: ""Publiquese en esta ciudad Oriza. Mayo 12 de 1837,"" and with signatures of officials",,,"Broadside issued by the Mexican Congress during the administration of Anastasio Bustamante, and promulgated by the Ministry of the Interior, relating to the organization of the Corte Marcial",text,"1 sheet (4 unnumbered pages) ; 31 x 41 cm, folded to 31 x 22 cm",Mexico : publisher not identified,,,"Peña y Peña, Manuel de la, 1789-1850",,b95853236,,Mexico. Suprema Corte Marcial,,Politics and government,Mexico,History | Sources
N65537#177,Object,,,text,spa  - Spanish; Castilian ,"De conformidad con lo consultado por el consejo de gobierno, se ha servido declarar el Escmo. Sr. Vice- Preisdente, que la ley de 31 de marzo último, relativa á la presentacion de manifiestos de buques y demás puntos que espresa","Secretaria de Hacienda, Seccion 1a",,,,Mexico,"Mexico, Secretaría de Hacienda",,,1831,1831-01-01,1831-12-31,994211177,b9480296,Title from first lines of text,"At upper left: Secretaria de Hacienda, Departamento de Gobierno. Seccion 1a",Dated and signed in print at end: México junio 17 de 1831. Mangino,,,,,,text,"1 sheet (1 page) ; 20 x 30 cm, folded to 20 x 15 cm",Mexico : publisher not identified,,,"Mangino, Rafael, 1788-1837",,b94802968,,,,Politics and government,Mexico,
N65537#176,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Presidente de la República Mexicana se ha servido dirigirme el decreto que sigue ... el Congreso general ha decretado ... Art. 1o. ""Se autoriza al Gobierno para que previa la modificacion ó rescision convencional ó judicial de los contratos anteriormente celebrados que á su juicio no deban subsistir",,,,,Mexico,"Mexico, Congreso","Mexico, Secretaría de Hacienda","Mexico, President (1837-1839 : Bustamante)",1837,1837-01-01,1837-12-31,1004426647,b9585281,"Upper right of sheet: Ministerio de Hacienda, Seccion 1a",Title from beginning of text,"Circular dated and signed at end: México, Mayo 6 de 1837. Lebrija",Verso blank,"Special Collections copy with manuscript note dated May 19, 1837: ""Publíquese en esta Ciudad, Oriz.""",,,"Circular issued by the Ministerio de Hacienda during the administration of Anastasio Bustamante, transmitting a national decree relating to financial matters",text,1 sheet (2 unnumbered pages) ; 30 x 22 cm,Mexico City : publisher not identified,,,"Lebrija, Joaquín",,b95852815,,,,"Finance, Public | Politics and government",Mexico,
N65537#175,Object,,,text,spa  - Spanish; Castilian ,"El Escmo. Sr. Vice-Presidente de los Estados-Unidos Mexicanos, se ha servido dirigirme el decreto que sigue ... el Congreso General ha decretado ... por una vez podrán los obispos con los cabildos, y á falta de aquellos estos solos, proveer las dignidades, canongías y prebendas , que forman la dotacion de sus iglesias",,,,,Mexico,"Mexico, Ministerio de Justicia y Negocios Eclesiásticos",,,1831,1831-01-01,1831-12-31,54271143,b9665070,Title from first lines of text,At head of page [1]: Ministerio de Justicia y Negocios Eclesiasticos,Circular dated and signed at end: México 16 de mayo de 1831. Espinosa,Decree dated: 16 de mayo de 1831,Final [2] p. blank,,,Circular from the Ministry of Justice under the Bustamante regime communicating a decree allowing bishops to select chapter members and giving governors veto power,text,1 sheet (4 unnumbered pages) ; 30 cm (fol.),Mexico : publisher not identified,,,"Espinosa, José Ignacio","Bustamante, Anastasio, 1780-1853",b96650709,,Catholic Church,,"Chapters, Cathedral, collegiate, etc. | Clergy--Appointment, call, and election | Exclusion, Right of",,
N65537#163,Object,,,text,spa  - Spanish; Castilian ,"El Supremo Poder Ejecutivo se ha servido dirigirme el Decreto siguiente ... El Soberano Congreso Constituyente Mexicano ha tenido á bien decretar. 1o. Se faculta al Gobierno para que pueda proveer las vacantes que estime convenientes y de absoluta necesidad, en todas las clases y ramos de la Hacienda pública",Circular núm. 8,,,,Mexico,"Mexico, Supremo Poder Ejecutivo (1823-1824)","Mexico, Secretaría de Hacienda",,1823,1823-01-01,1823-12-31,1000405080,b9501796,Type-signed: Arrillaga,Title from first lines of text,"Dated at end: México 14 de Junio de 1823, tercero de la Independencia y segundo de la Libertad",At head of title: Ministerio de Hacienda. Núm. 8. Circular,,,,"Circular issued by the Ministerio de Hacienda during the Supremo Poder Ejecutivo government, concerning need to fill vacancies at the Ministerio de Hacienda, i.e. treasury department, describing who would receive priority for these jobs",text,"1 sheet (3 unnumbered pages) ; 30 x 42 cm, folded to 30 x 21 cm",Mexico : publisher not identified,,,"Arrillaga, Francisco de",,b95017963,,,,Politics and government,Mexico,History | Sources
N65537#162,Object,,,text,spa  - Spanish; Castilian ,"Don Pedro Garibay, Mariscal de Campo de los Reales Exércitos, Virrey, Gobernador y Capitan general de esta N.E. ... y Subdelegado general de Correos en el mismo Reyno : Con fecha de 14 de Febrero último me ha comunicado el Exmo. Sr. D Benito Hermida, Secretario de Estado y del Despacho universal de Gracia y Justicia la Real Orden que sigue ... El Rey nuestro Señor D. Fernando VII, y en su Real nombre la Junta Suprema de Gobierno de España é Indias, ha visto con particular satisfaccion las cinco Cartas de V.E","Con fecha de 14 de Febrero último me ha comunicado el Exmo. Sr. D Benito Hermida, Secretario de Estado y del Despacho universal","Garritz, A. Impresos novohispanos, 1808-1821,","Ziga, Francisco. Adiciones a la Imprenta en México,",,New Spain,"New Spain, Secretaría de Estado","New Spain, Viceroy (1808-1809 : Garibay),",,1809,1809-01-01,1809-12-31,962070939,b9626631,Title from caption and first part of text,Dated and signed in print: Dado en México á 21 de Abril de 1809. Pedro Garibay,Special Collections copy signed by Josef Negreyros y Soria,,,,,"Broadside communicating a royal order issued while Ferdinand VII was in France under orders of Napoleon, approving five letters sent to him concerning the previous viceroy of New Spain, Josef de Yturrigaray, who was deposed and sent back to Spain. The King thanks Garibay for his loyal service",text,1 sheet ; 42 x 30 cm; On verso of sheet: Two stamps of Charles IV. Two stamps of Fernando VII,Mexico : publisher not identified,"Garibay, Pedro, 1727-1815",,,,b96266314,"Iturrigaray y Aróstegui, José de, 1742-1815.",,,Imprisonment | Kings and rulers--Deposition | Politics and government,,Sources
N65537#161,Object,,,text,spa  - Spanish; Castilian ,"El Escmo. Sr. Presidente teniendo en consideracion los conocimientos y patriotismo del Escmo. Sr. D. José Ignacio Esteva, se ha servido nombrarlo Secretario de Estado y del Despacho de Hacienda",,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Guerra y Marina","Mexico, Congreso (1828)","Mexico, President (1824-1829 : Vic.)",1828,1828-01-01,1828-12-31,1001960565,b9544253,Title from first lines of text,At head of sheet: Secretaria de Guerra y Marina. Seccion 5a,"Circular from the Ministerio de Guerra y Marina transmitting a national decree during the administration of Guadalupe Victoria, appointing José Ignacio Esteva as Secretario de Estado y del Despacho de Hacienda",Dated and signed at end: México Febrero 16 de 1828. G. Pedraza,Final [3] pages blank,,,,text,"1 folded sheet (4 unnumbered pages) ; 21 x 30 cm, folded to 21 x 15 cm",Mexico : publisher not identified,,,"Gómez Pedraza, Manuel, 1789-1851",,b95442534,,,,Politics and government,Mexico,
N65537#160,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Presidente sustituto se ha servido nombrar Secretario de Estado y del Despacho de Relaciones Esteriores, al Exmo. Sr. D. Ezequiel Montes",,,,,Mexico,"Mexico, President (1855-1858 : Comonfort)","Mexico, Secretaría de Gobernación",,1857,1857-01-01,1857-12-31,1011526353,b9618985,Title from first lines of text,At head of sheet: Secretaria de Estado y del Despacho de Gobernacion,"Dated and type-sigend at end: México, 9 de Enero de 1857. Lafragua",,,,,Decree appointing Ezequiel Montes as Secretario de Estado,text,"1 sheet ; 32 x 43 cm, folded to 32 x 22 cm",Mexico : publisher not identified,,,"Comonfort, Ignacio, 1812-1863","Lafragua, José María, 1813-1875",b9618985x,"Montes, Ezequiel, 1820-1883",,,Politics and government,Mexico,History | Sources
N65537#169,Object,,,text,spa  - Spanish; Castilian ,"Don Pedro Garibay, Mariscal de Campo de los Reales Exércitos, Virrey, Gobernador y Capitan general de esta N.E. ... y Subdelegado general de Correos en el mismo Reyno : Por decreto de quatro de este mes he resuelto lo siguiente",Por decreto de quatro de este mes he resuelto lo siguiente,"Para evitar semejante escollo he determinado con el mismo Real Acuerdo expedir el presente Decreto, por el qual concediendo, como concedo, indulto á todos los que hasta aquí han incurrido en este crímen, mando que en lo succesivo ninguna persona de qualquiera condicion ó calidad que sea, se atreva á producir anonimos, pasquines, memoriales ó libelos sin su firma, ni á propalarlos, baxo la pena que impone la Ley 3. tít. 9. part. 7",,,"New Spain, Viceroy (1808-1809 : Garibay)",,,,1809,1809-01-01,1809-12-31,1012612859,b9624897,Title from first lines of text,Dated: Dado en México á 6 de Octubre de 1808,"Pedro Garibay, Josef Negreyros y Soria, El Conde de la Cadena, Benitez",Printed on blue paper,Special Collections copy signed by Josef Ignacio Negreyros y Soria; with two stamps each of Charles IV and Fernando VII,,,Broadside issued by the viceroy of New Spain communicating a decree outlawing the issuance of rebellious anonymous tracts and papers,text,1 sheet ; 43 x 31 cm,Mexico : publisher not identified,,,"Garibay, Pedro, 1727-1815",,b9624897x,,,,Censorship | Politics and government,Mexico | New Spain,History | Sources
N65537#168,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Presidente constitucional de la República, se ha servido dirigirme el decreto que sigue ... El Consejo de Gobierno, en uso de la atribucion tercera, artículo ciento diez y seis de la Constitucional federal ...Ademas de los negocios señalados en el decreto de veinticinco de Setiembre, el Congreso general se ocuparã en las sesiones",,,,,Mexico,"Mexico, President (1851-1853 : Arista)","Mexico, Ministerio de Relaciones Interiores y Esteriores",,1852,1852-01-01,1852-12-31,1023481301,b9672290,Title from first lines of text,"Dated: México, Octubre 6 de 1852. J. Miguel Arroyo",At head of sheet: Ministerio de Relaciones Interiores y Esteriores,"Special Collections copy signed by Arroyo, with his manuscript flourish",,,,Broadside communicating a decree issued by the Ministerio de Relaciones Interiores y Esteriores under president Mariano Arista,text,1 sheet ; 32 x 22 cm,Mexico : publisher not identified,,,"Arista, Mariano, 1802-1855","Arroyo, José Miguel",b96722903,,,,Church and state | Politics and government,Mexico,History | Sources
N65537#167,Object,,,text,spa  - Spanish; Castilian ,El Exmo. Sor. Gobernador del Departamento se ha servido dirigirme el decreto siguiente ... Se reconoce el nuevo orden politico establecido en la Republica desde el dia  dos del corriente mes de Enero,,,,,Chiapas (Mexico),,,,1846,1846-01-01,1846-12-31,1020408221,b9661550,At upper left of sheet: Secretaria del Gobierno Departamental de Chiapas,"Dated and type-signed at end: San Cristobal: Enero 23 de 1846. Pedro Flores""","Special Collections copy signed by Flores, with his manuscript flourish",,,,,"Broadside issued by the governor of Chiapas officially recognizing the new but short-lived central government under Mariano Paredes that took over on Jan. 2, 1846",text,1 sheet ; 33 x 22 cm,San Cristóbal de Las Casas Chiapas Mexico : publisher not identified,,,"Flores, Pedro",,b96615503,"Paredes y Arrillaga, Mariano, 1797-1849",,,Politics and government,Mexico,History | Sources
N65537#166,Object,,,text,spa  - Spanish; Castilian ,"El Exmo. Sr. Vice-Presidente de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto que sigue ... Cada tercio de efecto de importacion marítima estrangera que desembarque en el puerto de la heroica Veracruz, pagará por el tiempo de diez años un real de contribucion municipal, arreglándose á ocho arrobas el peso de cada una de las piezas de abarrote","Secretaria de Hacienda, Seccion 1a",,,,Mexico,"Mexico, Secretaría de Hacienda",,,1834,1834-01-01,1834-12-31,995175661,b9483415,At top of sheet: Secretaria de Hacienda. Seccion 1a,Circular dated and signed at end: México 18 de Enero de 1834. Antonio Garay,,,,,,Decree issued under Vice President Gómez Farías setting import duty on goods coming into Veracruz,text,1 sheet (1 page) ; 31 x 21 cm,Mexico : publisher not identified,,,"Gómez Farías, Valentín, 1781-1858","Garay, Antonio",b94834155,,,,Politics and government | Tariff,Mexico,Sources
N65537#165,Object,,,text,spa  - Spanish; Castilian ,"Instalado que fué el Congreso Constituyente de este estado de Xalisco, el dia 14 de Setiembre pròximo anterior, con general aplauso y satisfaccion de todos sus habitantes ... Tomando en consideracion el Congreso Constituyente del Estado la necesidad y utilidad de mantener ... una comunicacion frecuente con todos los demas Estados",Gobernacion del estado libre de Xalisco,,,,Jalisco (Mexico),"Jalisco (Mexico), Congreso","Jalisco (Mexico), Governor (1823-1824 : Quintanar)",,1823,1823-01-01,1823-12-31,54303753,b9659001,"Communication from the governor of Jalisco; includes the text of a letter from the deputy secretaries of the state Congreso, dated 6 octubre 1823",Title from first lines of text,At upper left of page [1]: Gobernacion del estado libre de Xalisco,Dated and signed at end: Guadalajara 11 de Octubre de 1823. Luis Quintanar,Final [2] p. blank,"Special Collections copy signed by Luis Quintanar, with manuscript flourish; copy lacks integral blank leaf",,,text,1 sheet (4 unnumbered pages) ; 30 cm (fol.),Guadalajara : publisher not identified,,,"Quintanar, Luis, -1837",,b96590014,,Jalisco (Mexico). Congreso,,Politics and government,,
N65537#164,Object,,,text,spa  - Spanish; Castilian ,"Con fecha de 17 de este mes se sirvió el Exmô. Sr. Virrey comunicarme la Superior órden que dice así. ""En 21 de Enero de 1795 expidio mi antecesor ... la Circular del tenor siguiente ... Por Superior Decreto de 29 de Septiembre de 1776 mando el Exmô. Sr. Virrey Marqués de Croix que no se entragase á las Partes Título, Superior Despacho ni otro recado alguno de Oficio, Renta, Encomienda, Empleo, Dispensa, Facultad, Venia, Suplemento, Gratificacion, Grado, Honor ó Ayuda de costa, sin que primero constase la satisfaccion de Media-anata, ó declaracion de no deberla",,,,,New Spain,,,,1807,1807-01-01,1807-12-31,1013749455,b9632519,Title from first lines of text,Dated and signed in print: México 25 de Abril de 1807. Silvestre Diaz de la Vega,,,,,,"Circular issued by accountant general of the royal tobacco monopoly in New Spain under viceroy Iturrigaray, relating to taxation",text,1 sheet (2 unnumbered pages) ; 21 x 16 cm,Mexico : publisher not identified,,,"Díaz de la Vega, Silvestre","Iturrigaray y Aróstegui, José de, 1742-1815",b96325197,,,,Politics and government | Taxation--Law and legislation | Tobacco industry--Law and legislation,Mexico | New Spain,History | Sources
N65537#6,Object,,,text,spa  - Spanish; Castilian ,"El Exmô. Señor D. Francisco de Heredia, Secretario de Estado y del Despacho Universal de Guerra, me dice de Real Orden, con fecha de 13 de Abril último, lo que sigue... Queriendo el Consejo de Regencia que la resistencia y constancia en la defensa de las plazas y puestos fortificados correspondan á los grados de heroismo que exigen la Patria y las circunstancias de la actual guerra, é inmortalizará la memoria de los dignos Gefes y guarniciones, particularmente de Zaragoza y Gerona",,,,,New Spain,,,,1811,1811-01-01,1811-12-31,1011422512,b9617703,Title from first lines of text,Document signed and dated at end: México 2 de Agosto de 1811. Venégas,Special Collections signed by Venegas with his manuscript flourish,,,,,"Circular issued by the Viceroy of New Spain to communicate a royal decree relating to the Napoleonic conquest of Spain, also during the time of the wars of independence in Mexico",text,"1 sheet (4 unnumbered pages) ; 21 x 30 cm, folded to 21 x 15 cm",Mexico : publisher not identified,,,"Venegas, Francisco Xavier, 1760-1838","Heredia, Francisco de",b96177032,,,Napoleonic Conquest of Spain (1808-1813) | Wars of Independence (Mexico : 1810-1821),Politics and government,Mexico | New Spain | Spain,History | Sources
N65537#196,Object,,,text,spa  - Spanish; Castilian ,El Escmo. Sr. Vice-Presidente de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto que sigue ... el Congreso General ha decretado ... Las legislaturas de los estados que a la publicacion de este decreto no hayan dictado la ley que arregle el ejercicio de la esclusiva de que habla el artículo 3o. de la ley de 16 de mayo último,,,,,Mexico,"Mexico, President (1837-1839 : Bustamante)","Mexico, Congreso","Mexico, Ministerio de Justicia y Negocios Eclesiásticos",1831,1831-01-01,1831-12-31,1021864849,b9667532,Title from first lines of text,Final 3 pages blank,Head of page [1]: Ministerio de Justicia y Negocios Eclesiasticos,""" ... Mexico á 4 de noviembre de 1831.--Anastasio Bustamante.--A D. José Ignacio Espinosa ...""",Signed: Espinosa,"Special Collections copy signed by Espinosa, with his manuscript flourish",,Circular by the Ministry of Justice during the Bustamante regime,text,"1 sheet (4 unnumbered pages) ; 30 x 41, folded 30 x 21 cm",Mexico : publisher not identified,,,"Bustamante, Anastasio, 1780-1853","Espinosa, José Ignacio",b96675329,,,,Politics and government,Mexico,History | Sources
N65537#5,Object,,,text,spa  - Spanish; Castilian ,"Con fecha 12 de Julio último se ha servido el Exmô. Señor Virrey comunicarme la Orden siguiente ... Enterado el Rey de la Carta del antecesor de V.E.D. Felix Berenguer de Marquina N. 154 de 27 de Noviembre de 1800, y del Testimonio del Expediente que acompaño, promovido por el Coronel del Regimiento Urbano de ese Comercio, sobre el lugar en que debian concurrir los Gefes Militares con los Jueces de Rentas a tomar las confesiones, y sentenciar las causas de los Soldados que en union de Paisanos incurriesen en el delito de contrabando",,,,,New Spain,,,,1804,1804-01-01,1804-12-31,1013748663,b9632473,Title from first lines of text,Pages [2]-[4] blank,Dated and signed in print on page [2]: México 8 de Agosto de 1804. Silvestre Diaz de la Vega,,,,,"Circular issued by accountant general of the royal tobacco monopoly in New Spain under viceroy Iturrigaray, relating to authority in certain smuggling cases",text,1 sheet (4 unnumbered pages) ; 30 x 42 cm folded to 30 x 21 cm,Mexico : publisher not identified,,,"Díaz de la Vega, Silvestre","Iturrigaray y Aróstegui, José de, 1742-1815",b96324739,,,,Politics and government | Smuggling--Law and legislation | Tobacco industry--Law and legislation,Mexico | New Spain,History | Sources
N65537#195,Object,,,text,spa  - Spanish; Castilian ,"Con fecha de ayer dije al Ecsmo. Sr. D. Manuel Gomez Pedraza lo que sigue. ""Debiendo salir á una espedicion de servicio de la mas alta importancia el Ecsmo. Sr. D. Manuel Rincon, su S.E. el Presidente ha dispuesto que V.E. se encargue del Ministerio, de la Guerra y Marina",,,,,Mexico,"Mexico, Secretaría de Hacienda",,,1827,1827-01-01,1827-12-31,995450355,b9484145,Title from first lines of text,Dated: México 3 de Marzo de 1827,At head of sheet: Ministerio de Hacienda. Departamento de Gobierno. Seccion 2a,Type-signed: Esteva,Special Collections copy signed with manuscript flourish,,,"Circular issued by the Secretaría de Hacienda under President Guadalupe Victoria, relating to the appointment of Manuel Gómez Pedraza as Ministro de Guerra y Marina",text,1 sheet (1 unnumbered page) ; 21 x 15 cm,Mexico : publisher not identified,,,"Victoria, Guadalupe, 1786-1843","Esteva, José Ignacio, 1782-1830",b94841457,,,,Politics and government,Mexico,
N65537#4,Object,,,text,spa  - Spanish; Castilian ,La Regencia del Imperio se ha servido dirigirme el decreto que sigue ... El Soberano Congreso Constituyente del Imperio Mexicano ha decretado con esta fecha el siguiente ceremonial para recibir á la Regencia,Decreto número 2.,,,,Mexico,"Mexico, Congreso Constituyente (1821-1823)","Mexico, Secretaría de Estado y del Despacho de Relaciones Interiores y Exteriores",,1822,1822-01-01,1822-12-31,988108763,b9431940,Caption and part of text used as title,At upper left: Secretaria de Relaciones Interiores y Exteriores,At head of sheet: Número 2,"Text transmitting the decree dated and signed p. [2]: En México á 26 de Febrero de 1822 ... Agustín de Iturbide, Presidente [of the Regency]",Document dated and signed at end: México 26 de Febrero de 1822 ... Herrera,Special Collections copy with manuscript flourish by Herrera,,"Decree setting forth the protocol for receiving the Regency council, of which Iturbide was president",text,1 sheet (2 pages) ; 30 x 21 cm,Mexico : publisher not identified,,,"Herrera, José Manuel de, 1776?-1831","Iturbide, Agustín de, 1783-1824",b94319406,,,,Politics and government,Mexico,Sources
N65537#194,Object,,,text,spa  - Spanish; Castilian ,El ecsmo. Sr. presidente de los Estados Unidos Mexicanos se ha servido dirigirme el decreto que sigue ... el Congreso general ha decretado ... se remitirán á los gobiernos de los estados copias de la carta que ha dirigido á los Estados Unidos Mexicanos el rey de la Gran Bretaña é Irlanda participandoseles la muerte de S.A.R. el principe Federico de York,Primera Secretaria de Estado. Departamento Esterior. Seccion 2a,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Relaciones Interiores y Exteriores., Departamento Esterior., Sección 2a","Mexico, President (1824-1829 : Vic.)","Mexico, Congreso (1827)",1827,1827-01-01,1827-12-31,54228629,b9314583,Title from first lines of text,Dated and signed at end: México 19 de mayo de 1827. Juan José Espinosa de los Monteros,,,,,,Circular communicating a decree concerning observances to mark the funeral of Prince Frederick Augustus in Great Britain,text,1 sheet (1 page) ; 30 cm (fol.),Mexico : publisher not identified,,,"Espinosa de los Monteros, Juan José",,b93145834,"Frederick Augustus, Prince, Duke of York and Albany, 1763-1827",,,Diplomatic relations | Memorial rites and ceremonies,Great Britain | Mexico,
N65537#3,Object,,,text,spa  - Spanish; Castilian ,"El Ecsmo. Sr. Presidente de los Estados Unidos Mexicanos se ha servido dirigirme el decreto que sigue ... el Congreso general ha decretado lo siguiente. Se faculta al gobierno para que interin se expide la ley, llene con letrados los huecos de la Audiencia de México en el supremo tribunal de Guerra y Marina",,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Guerra y Marina","Mexico, Congreso (1827)","Mexico, President (1824-1829 : Vic.)",1827,1827-01-01,1827-12-31,1002311051,b9549427,At head of page: Secretaria de Guerra y Marina,First lines of text used as title,Circular dated and signed at end: México 30 de Enero de 1827. José Castro,,,,,"Circular from the Ministerio de Guerra y Marina transmitting a decree issued during the administration of Guadalupe Victoria, empowering the government to fill the post of the Supremo Tribunal de Guerra y Marina",text,1 sheet (1 unnumbered page) ; 21 x 16 cm,Mexico : publisher not identified,,,"Castro, José, (Cabinet officer)",,b95494273,,,,Politics and government,Mexico,
N65537#193,Object,,,text,spa  - Spanish; Castilian ,"El Escmo. Sr. Presidente de los Estados Unidos Mexicanos se ha servido dirigirme el decreto que sigue ... El ciudadano Eusebio de Jesus Terrazas ha debido percibir desde su esclaustracion, la congrua que le corresponde con arreglo á lo prevenido por la ley de 1o. de Octubre de 1820",Ministerio de Justicia y Negocios Eclesiasticos,,,,Mexico,"Mexico, Congreso","Mexico, Ministerio de Justicia y Negocios Eclesiásticos",,1828,1828-01-01,1828-12-31,1020503113,b9663817,Title from first lines of text,Dated and signed at end: México 31 de Marzo de 1828. Espinosa,"Special Collections copy signed by Espinosa, with his manuscript flourish",,,,,"Decree issued by Guadalupe Victoria relating to monies owed to a member of a religious order, one Eusebio de Jesus Terrazas",text,1 sheet ; 21 x 15 cm,Mexico : publisher not identified,,,"Victoria, Guadalupe, 1786-1843","Espinosa de los Monteros, Juan José",b96638175,,,,Church and state | Secularization,Mexico,History | Sources
N65537#2,Object,,,text,spa  - Spanish; Castilian ,El Escmo. Sr. presidente de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto siguiente ... 1o. El decreto núm. 138 del honorable congreso de Veracruz es contrario al art. 158 de la constitucion federal. 2o. El congreso se instalará con los individuos nombrados en la junta final de 5 de octubre último,,,,,Mexico,"Mexico, President (1824-1829 : Victoria)",,,1829,1829-01-01,1829-12-31,987458797,b9418449,At head of sheet: Primera Secretaria de Estado. Departamento del Interior. Seccion 1a,Dated: México 12 de febrero de 1829,Signed: Bocanegra,,,,,,text,1 sheet (1 page) ; 30 x 21 cm,Mexico : publisher not identified,,,"Bocanegra, José María, 1787-1862",,b94184495,,,,Employees | Politics and government,Mexico,
N65537#56,Object,,,text,spa  - Spanish; Castilian ,El Escmo. Sr. presidente de los Estado-Unidos Mejicanos se ha servido dirigirme el decreto siguiente ... El congreso cerrará sus sesiones estraordinarias el dia 27 del corriente mes,,,,,Mexico,"Mexico, Secretaría de Estado y del Despacho de Relaciones Interiores y Exteriores., Departamento del Interior., Sección 1a","Mexico, President (1824-1829 : Vic.)","Mexico, Congreso (1828)",1828,1828-01-01,1828-12-31,987447695,b9418386,At head of sheet: Primera Secretaria de Estado. Departamento del Interior. Seccion 1a,Title from first lines of text,Decree declaring the closure of the extraordinary sessions of congress,Dated and signed at end: Méjico 26 de diciembre de 1828. Cañedo,Special Collections copy signed with Cañedo's manuscript flourish,,,,text,"1 sheet (1 pages) ; 30 x 42 cm, folded to 30 x 21 cm",Mexico : publisher not identified,,,"Cañedo, Juan de Dios, 1786-1850",,b94183867,,,,Politics and government,Mexico,History | Sources
N65537#192,Object,,,text,spa  - Spanish; Castilian ,"El Escmo. Sr. Vice-Presidente de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto que sigue ... el congreso general ha decretado ... los eclesiásticos seculares y regulares, sujetándose á los artículos 1 ̊y 2 ̊de la ley de 17 de diciembre de 824, podrán ocurrir al gobierno por el premio de sus servicios prestados en los once primeros años de la guerra de independencia",,,,,Mexico,"Mexico, Ministerio de Justicia y Negocios Eclesiásticos",,,1831,1831-01-01,1831-12-31,54271401,b9667513,At head of page [1]: Ministerio de Justicia y Negocios Eclesiasticos,"Circular issued by the Ministry of Justice during the Bustamante regime, communicating a decree concerning military pensions for secular clergy stemming from service during the first eleven years of Mexico's Wars for Independence",Title from first lines of text,Circular dated and signed at end: México 20 de mayo de 1831. Espinosa,Decree dated: 20 de mayo de 1831,Final [3] pages blank,"Special Collections copy lacks integral blank leaf (i.e. the final [2] pages, which are blank)",,text,1 sheet (4 unnumbered pages) ; 30 cm,Mexico : publisher not identified,,,"Espinosa, José Ignacio","Bustamante, Anastasio, 1780-1853",b96675135,,Catholic Church,Wars of Independence (Mexico : 1810-1821),Clergy--Pensions | Military pensions--Law and legislation,Mexico,History | Sources
