,bibex,bib,filename,Object Unique ID,Level,file_name,File use,Type of Resource,Language,Language2,Title,Subtitle,Translation,Variant,Variant2,Variant3,Variant4,Corporate:Creator,Corporate:Creator2,Corporate:Creator3,Corporate:Creator4,Corporate:Creator5,Corporate:author,Corporate:enacting jurisdiction,Corporate:issuing boday,Corporate:issuing body,Corporate:issuing body 2,Corporate:issuing body 3,Corporate:printer,Corporate:publisher,Date:creation,Date:production,Identifier:OCLC number,Note:,Note:2,Note:3,Note:4,Note:5,Note:6,Note:7,Note:description,Note:material details,Note:physical description,Note:publication,Note:publication2,Note:table of contents,Person:Creator,Person:Creator2,Person:Creator3,Person:Creator4,Person:Creator5,Person:Creator6,Person:Creator7,Person:Creator8,Person:author,Person:issuing body,Person:issuing body 2,Person:issuing body 3,Person:printer,Person:printer2,Subject:genre,Subject:genre2,Subject:geographic,Subject:topic,Subject:topic2,Unnamed: 63
10,b25840265,b2584026,b25840265_1.tif,N65537#9,Object,,,text,,,"El C. Joaquin O. Perez, Gobernador del Distrito Federal, a los habitantes del mismo, sabed : ... Sebastian Lerdo de Tejada, Presidente constitucional de los Estados-Unidos Mexicanos, á sus habitantes, sabed : Artículo único. Se habilita para el comercio de cabotaje el puerto de Mulegé, situado en el Golfo de Cortés, en el Territorio de la Baja -California",,,"Se habilita para el comercio de cabotaje el puerto de Mulegé, situado en el Golfo de Cortés, en el Territorio de la Baja-California",,,,Mexico,"Mexico, President (1872-1876 : Lerdo de Tejada)",,,,,,,,,,,,,,,Title from first lines of text,Signed: Joaquin O. Perez,"""México, Diciembre 31 de 1874.""",,,,,,text,1 sheet ([1] page) , 33 cm,"México, publisher not identified, 1874",,,"Perez, Joaquin O","Lerdo de Tejada, Sebastián, 1823-1889",,,,,,,,,,,,,,,,,
11,b26409124,b2640912,b26409124_1.tif,N65537#10,Object,,,text,,,"El Exmo. Sr. Presidente interino de la República Mexicana, se ha servido dirigirme el decreto que sigue ... : Los diputados de la Alta y Baja California tendrán voz y voto en el actual Congreso, en la formacion de leyes y decretos ... mando se imprima ... en México á 26 de Octubre de 1835 . Miguel Barragán",,,Diputados de la Alta y Baja California tendrán voz y voto en el actual Congreso,,,,Mexico,"Mexico, President (1835-1836 : Barragán)","Mexico, Ministerio de Relaciones Interiores y Esteriores",,,,,,,,,,,1835,,,At head of title: Primera Secretaria de Estado. Departamento del Interior,Signed: Bonilla,Special Collections copy is disbound from a volume and attached to a blank sheet,,,,,,text,1 sheet ([1] page) , 30 x 21 cm,,,,"Diez de Bonilla, Manuel, 1800-1864","Barragán, Miguel, 1789-1836",,,,,,,,,,,,,,,,,
12,b29429821,b2942982,b29429821_1.tif,N65537#11,Object,,,text,,,Proclama,,,Conciudadanos! Vosotros que pertenecéis a la Guardia Nacional habéis visto la comunicación insolente,"Barrett, E.C. Baja California",,,"Colonia Militar de la Frontera de la Baja California (Mexico), Comandante",,,,,,,,,,,,,1852,,,Caption title,First lines of text: Conciudadanos!--Vosotros que pertenecéis a la Guardia Nacional habéis visto la comunicación insolente,Includes a communication from Andreas P. Vidal to which the Proclama is a response,Dated at end: enero 4 de 1852,"""The Proclama was ... the first item to bear a northern Baja California imprint ...""--Don Meadows in introd. to 1966 facsimile reprint",,,,text,1 sheet ([1] page) , 25 cm,"Santo Tomas Baja California, México, publisher not identified",,,"Chavis, Jose Antonio","Vidal, Andreas P",,,,,,,,,,,,,,,,,
13,b32148306,b3214830,b32148306_1.tif,N65537#12,Object,,,text,,,El Escmo. Sr. presidente de los Estados-Unidos Mexicanos se ha servido dirigrme el decreto que sigue ... Se establecerá en cada territorio un asesor,,,,,,,Mexico,"Mexico, President (1829 Apr. 1-Dec. 16 : Guerrero)","Mexico, Ministerio de Justicia y Negocios Eclesiásticos",,,,,,,,,,,1829?,,,Title from beginning of text,"""Dado en el palacio federal de México à 29 de agosto de 1829, --Vicente Guerrero.--A D. José Manuel de Herrera.""",,,,,,,text,1 sheet , 30 cm,"México, Ministerio de Justicio y Negocios Eclesiásticos?",,,"Guerrero, Vicente, 1782-1831","Herrera, José Manuel de, 1776?-1831",,,,,,,,,,,,,,,,,
14,b33021004,b3302100,b33021004_1.tif,N65537#13,Object,,,text,,,Ceremonial acordado por la Comisión Respectiva de la Junta Patriotica para solemnizar en esta ciudad el vigesimo primer aniversario del brillante triunfo obtenido por las armas nacionales contra el invasor francés el 5 de mayo de 1862,,,,,,,Monterrey (Mexico),,,,,,,,,,,,,1883,,,"Signed: Modesto Villareal, Julio Cervantes, Mauro A. Sepúlveda",This item was removed from the Armando de María y Campos papers (MSS 136),,,,,,,text,1 sheet ([1] page) , 33 cm,"Monterey Mexico, El Gobierno?",,,"Villareal, Modesto","Cervantes, Julio","Sepúlveda, Mauro A",,,,,,,,,,,,,,,,
15,b33022161,b3302216,n,N65537#14,Object,,,text,,,"Al pelaire Zorrilla, un jarocho veracruzano",,,Un jarocho veracruzano,El zacatecano,,,,,,,,,,,,,,,,1849,,,"""Copiado del Zacatecano.""",This item was removed from the Armando de María y Campos papers (MSS 136),,,,,,,text,1 sheet ([2] pages) , 33 cm,"Guadalajara, Impr. del Gobierno",,,,,,,,,,,,,,,,,,,,,
16,b33022161,b3302216,b33022161_1.tif,N65537#14,Object,,,text,,,"Al pelaire Zorrilla, un jarocho veracruzano",,,Un jarocho veracruzano,El zacatecano,,,,,,,,,,,,,,,,1849,,,"""Copiado del Zacatecano.""",This item was removed from the Armando de María y Campos papers (MSS 136),,,,,,,text,1 sheet ([2] pages) , 33 cm,"Guadalajara, Impr. del Gobierno",,,,,,,,,,,,,,,,,,,,,
17,b33022161,b3302216,b33022161_2.tif,N65537#14,Object,,,text,,,"Al pelaire Zorrilla, un jarocho veracruzano",,,Un jarocho veracruzano,El zacatecano,,,,,,,,,,,,,,,,1849,,,"""Copiado del Zacatecano.""",This item was removed from the Armando de María y Campos papers (MSS 136),,,,,,,text,1 sheet ([2] pages) , 33 cm,"Guadalajara, Impr. del Gobierno",,,,,,,,,,,,,,,,,,,,,
18,b33022549,b3302254,n,N65537#15,Object,,,text,,,Diputación permanente,,,,,,,"Oaxaca (Mexico), Diputación permanente","Oaxaca (Mexico), Secretaría del congreso",,,,,,,,,,,,1874,,,Caption title,This item was removed from the Armando de María y Campos papers (MSS 136),,,,,,,text,1 sheet ([2] pages) , 34 cm,"Oaxaca, Impr. del Estado",,,,,,,,,,,,,,,,,,,,,
19,b33022549,b3302254,b33022549_1.tif,N65537#15,Object,,,text,,,Diputación permanente,,,,,,,"Oaxaca (Mexico), Diputación permanente","Oaxaca (Mexico), Secretaría del congreso",,,,,,,,,,,,1874,,,Caption title,This item was removed from the Armando de María y Campos papers (MSS 136),,,,,,,text,1 sheet ([2] pages) , 34 cm,"Oaxaca, Impr. del Estado",,,,,,,,,,,,,,,,,,,,,
20,b33022549,b3302254,b33022549_2.tif,N65537#15,Object,,,text,,,Diputación permanente,,,,,,,"Oaxaca (Mexico), Diputación permanente","Oaxaca (Mexico), Secretaría del congreso",,,,,,,,,,,,1874,,,Caption title,This item was removed from the Armando de María y Campos papers (MSS 136),,,,,,,text,1 sheet ([2] pages) , 34 cm,"Oaxaca, Impr. del Estado",,,,,,,,,,,,,,,,,,,,,
21,b33814508,b3381450,b33814508_1.tif,N65537#16,Object,,,text,,,Pronunciamiento,,,,,,,,,,,,,,,,,,,,1874,,,"At head of title: Alcance al núm. 2 del Mutilado. Oaxaca, setiembre 13 de 1874",,,,,,,,text,1 sheet ([1] page) , 23 cm,"Oaxaca, México, publisher not identified",,,"Burro, M",,,,,,,,,,,,,,,,,,
22,b33844483,b3384448,b33844483_1.tif,N65537#17,Object,,,text,,,"La Diputación Permanente del Congreso del Estado de Guanajuato unida a los Diputados residentes en esta Capital, a los Guanajuatenses",,,"Ciudadanos, la revolucion que estalló en la Capital",,,,"Guanajuato (Mexico : State), Diputación Permanente",,,,,,,,,,,,,1828,,,Caption title,"Text begins: Ciudadanos, La revolucion que estallò en la Capital","At end: Manuel Baranda, presidente; Juan Morales, diputado secretario",This item was removed from the Armando de Maria y Campos papers (MSS 136),,,,,text,1 sheet ([1] page) , 31 cm,"Guanajuato Mexico, Impr. del Supremo Gobierno á cargo del C. José María Carranco",,,"Baranda, Manuel","Morales C., Juan Manuel",,,,,,,,,,,,,,,,,
23,b34074600,b3407460,b34074600_1.tif,N65537#18,Object,,,text,,,"Nombrado por el supremo gobierno, gobernador y comandante general de este departamento, haré cuanto de mí dependa para corresponder á la alta confianza con que se me ha honrado",,,El gobernador y comandante general del Departamento de Sinaloa a sus habitantes,,,,"Sinaloa (Mexico : State), Governor",,,,,,,,,,,,,1853,,,At head of title: El gobernador y comandante general del Departamento de Sinaloa á sus habitantes: Sinaloenses,"At end: Puerto de Mazatlan, Noviembre 27 de 1853, José María Yañez",Title from beginning of text,,,,,,text,1 sheet ([1] page) , 33 x 22 cm,"Puerto de Mazatlán?, Mexico, El Departamento",,,"Yañez, José María, 1804-1880",,,,,,,,,,,,,,,,,,
24,b34074739,b3407473,n,N65537#19,Object,,,text,,,De lo que debieren los Estados por razon de contingente,,,El Exmo. Sr. Presidente interino de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto siguiente,"Arrillaga, 1835",,,Mexico,,,,,,,,,,,,,1835,,,At head of title: El Exmo. Sr. Presidente interino de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto siguiente,Dated: México 4 de Marzo de 1835,Signed: Blasco,,,,,,text,1 sheet ([1] page) , 30 x 21 cm,"México, Secretaria de Hacienda, Sección de cuenta y razon",,,"Blasco, José Mariano",,,,,,,,,,,,,,,,,,
25,b34074739,b3407473,b34074739_1.tif,N65537#19,Object,,,text,,,De lo que debieren los Estados por razon de contingente,,,El Exmo. Sr. Presidente interino de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto siguiente,"Arrillaga, 1835",,,Mexico,,,,,,,,,,,,,1835,,,At head of title: El Exmo. Sr. Presidente interino de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto siguiente,Dated: México 4 de Marzo de 1835,Signed: Blasco,,,,,,text,1 sheet ([1] page) , 30 x 21 cm,"México, Secretaria de Hacienda, Sección de cuenta y razon",,,"Blasco, José Mariano",,,,,,,,,,,,,,,,,,
26,b34074739,b3407473,b34074739_2.tif,N65537#19,Object,,,text,,,De lo que debieren los Estados por razon de contingente,,,El Exmo. Sr. Presidente interino de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto siguiente,"Arrillaga, 1835",,,Mexico,,,,,,,,,,,,,1835,,,At head of title: El Exmo. Sr. Presidente interino de los Estados-Unidos Mexicanos se ha servido dirigirme el decreto siguiente,Dated: México 4 de Marzo de 1835,Signed: Blasco,,,,,,text,1 sheet ([1] page) , 30 x 21 cm,"México, Secretaria de Hacienda, Sección de cuenta y razon",,,"Blasco, José Mariano",,,,,,,,,,,,,,,,,,
27,b34077121,b3407712,b34077121_1.tif,N65537#20,Object,,,text,,,"El gobierno, oyendo a los que por derecho toqu[e], y á los demás que juzgue oportuno, formará un expediente instructivo de la necesidad que haya de erijir un obi[s]pado en las dos Californias",,,"El Lic. Pedro Sánchez, primer vocal y presidente de la Junta Departamental, en ejercicio del gobierno del Departamento de Sinaloa",,,,Mexico,Sinaloa (Mexico : State),,,,,,,,,,,,1836,,,"At head of title: El Lic. Pedro Sánchez, primer vocal y presidente de la Junta D[e]partamental, en ejercicio del gobierno del Departamento de Sinaloa","At end: Culiacán, Octubre 21 de 1836, Pedro Sanchez.  Francisco Ceceña, Srio",,,,,,,text,1 sheet ([1] page) , 33 x 22 cm,"Culiacán, Mexico?, Gobierno del Departamento de Sinaloa",,,"Sánchez Gómez, Pedro","Ceceña, Francisco",,,,,,,,,,,,,,,,,
28,b34079208,b3407920,n,N65537#21,Object,,,text,,,"Lecciones de buen gobierno, o, Llámanse rasgos patrióticos",,,Llámanse rasgos patrióticos,,,,,,,,,,,,,,,,,1834,,,Caption title,Signed at end: Un Federalista,"Dated at end: Culiacan, Junio 6 de 1834",,,,,,text,[3] pages , 32 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",,,Un Federalista,,,,,,,,,,,,,,,,,,
29,b34079208,b3407920,b34079208_1.tif,N65537#21,Object,,,text,,,"Lecciones de buen gobierno, o, Llámanse rasgos patrióticos",,,Llámanse rasgos patrióticos,,,,,,,,,,,,,,,,,1834,,,Caption title,Signed at end: Un Federalista,"Dated at end: Culiacan, Junio 6 de 1834",,,,,,text,[3] pages , 32 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",,,Un Federalista,,,,,,,,,,,,,,,,,,
30,b34079208,b3407920,b34079208_2.tif,N65537#21,Object,,,text,,,"Lecciones de buen gobierno, o, Llámanse rasgos patrióticos",,,Llámanse rasgos patrióticos,,,,,,,,,,,,,,,,,1834,,,Caption title,Signed at end: Un Federalista,"Dated at end: Culiacan, Junio 6 de 1834",,,,,,text,[3] pages , 32 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",,,Un Federalista,,,,,,,,,,,,,,,,,,
31,b34079567,b3407956,n,N65537#22,Object,,,text,,,"Manifestacion que el Gobierno hace a los pueblos contra las falsas imposturas de la mano, que las estampó en su impreso de 2 del corriente con la siguiente inscrepcion: Prostitución del gobernador de Sinaloa : Conciudadanos sinaloenses",,,,,,,Sinaloa (Mexico : State),,,,,,,,,,,,,,,,Caption title,,,,,,,,text,[3] pages , 30 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",1833,,"Bandera, Manuel María",,,,,,,,,,,,,,,,,,
32,b34079567,b3407956,b34079567_1.tif,N65537#22,Object,,,text,,,"Manifestacion que el Gobierno hace a los pueblos contra las falsas imposturas de la mano, que las estampó en su impreso de 2 del corriente con la siguiente inscrepcion: Prostitución del gobernador de Sinaloa : Conciudadanos sinaloenses",,,,,,,Sinaloa (Mexico : State),,,,,,,,,,,,,,,,Caption title,,,,,,,,text,[3] pages , 30 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",1833,,"Bandera, Manuel María",,,,,,,,,,,,,,,,,,
33,b34079567,b3407956,b34079567_2.tif,N65537#22,Object,,,text,,,"Manifestacion que el Gobierno hace a los pueblos contra las falsas imposturas de la mano, que las estampó en su impreso de 2 del corriente con la siguiente inscrepcion: Prostitución del gobernador de Sinaloa : Conciudadanos sinaloenses",,,,,,,Sinaloa (Mexico : State),,,,,,,,,,,,,,,,Caption title,,,,,,,,text,[3] pages , 30 cm,"Culiacan, Mexico, Imprenta del Supremo Gobierno, á cargo de F. Orrantia",1833,,"Bandera, Manuel María",,,,,,,,,,,,,,,,,,
34,b34079725,b3407972,b34079725_1.tif,N65537#23,Object,,,text,,,"Se aprueba la division del Estado de Sonora y Sinaloa en los términos que la pide su honorable legislatura, formando Sinaloa un solo estado, y otro Sonora",,, Escmo. Sr. vice-presidente de los Estados-Unidos Mexicanos se ha servido dirigirme,,,,Mexico,"Mexico, Departamento del Interior","Mexico, Secretaría de Estado",,,,,,,,,,,1830,,,Title from first lines of text,"At end: Palacio del gobierno federal en México á 13 de octubre de 1830. Anastasio Bustamante, A.D. Lucas Alaman","""Seccion 1a.""",,,,,,text,1 folded sheet ([1] page) , 29 x 41 cm. folded to 29 x 21 cm,"Mexico City, Primera Secretaria de Estado, Departmento del Interior",,,"Bustamante, Anastasio, 1780-1853","Alamán, Lucas, 1792-1853",,,,,,,,,,,,,,,,,
35,b34079993,b3407999,n,N65537#24,Object,,,text,,,También en Sinaloa se detesta la monarquía,,,,,,,,,,,,,,,,,,,,1846,,,Caption title,,,,,,,,text,4 pages , 32 cm,"Puerto de Mazatlán Mexico, Imprenta del Gobierno á cargo de F.A. Riestra",,,,,,,,,,,,,,,,,,,,,
36,b34079993,b3407999,b34079993_1.tif,N65537#24,Object,,,text,,,También en Sinaloa se detesta la monarquía,,,,,,,,,,,,,,,,,,,,1846,,,Caption title,,,,,,,,text,4 pages , 32 cm,"Puerto de Mazatlán Mexico, Imprenta del Gobierno á cargo de F.A. Riestra",,,,,,,,,,,,,,,,,,,,,
37,b34079993,b3407999,b34079993_2.tif,N65537#24,Object,,,text,,,También en Sinaloa se detesta la monarquía,,,,,,,,,,,,,,,,,,,,1846,,,Caption title,,,,,,,,text,4 pages , 32 cm,"Puerto de Mazatlán Mexico, Imprenta del Gobierno á cargo de F.A. Riestra",,,,,,,,,,,,,,,,,,,,,
38,b34080132,b3408013,n,N65537#25,Object,,,text,,,Concluyen las contestaciones habidas entre el gobierno de este departamento y el Sr. ministro provicional D. Gumesindo Layja,,,,,,,"Sinaloa (Mexico : State), Governor",,,,,,,,,,,,,1836,,,Caption title,"At end: Culiacàn, Febrero 24 de 1836, = Pedro Sanchez",,,,,,"Levies a fine of 200 pesos on Layja because of a letter written by him, and includes the text of the letter",text,[3] pages , 32 cm,"Culiacan Mexico, Imprenta del Gobierno á cargo del C.A. Guemez",,,"Sánchez Gómez, Pedro","Layja, Gumesindo",,,,,,,,,,,,,,,,,
39,b34080132,b3408013,b34080132_1.tif,N65537#25,Object,,,text,,,Concluyen las contestaciones habidas entre el gobierno de este departamento y el Sr. ministro provicional D. Gumesindo Layja,,,,,,,"Sinaloa (Mexico : State), Governor",,,,,,,,,,,,,1836,,,Caption title,"At end: Culiacàn, Febrero 24 de 1836, = Pedro Sanchez",,,,,,"Levies a fine of 200 pesos on Layja because of a letter written by him, and includes the text of the letter",text,[3] pages , 32 cm,"Culiacan Mexico, Imprenta del Gobierno á cargo del C.A. Guemez",,,"Sánchez Gómez, Pedro","Layja, Gumesindo",,,,,,,,,,,,,,,,,
40,b34080132,b3408013,b34080132_2.tif,N65537#25,Object,,,text,,,Concluyen las contestaciones habidas entre el gobierno de este departamento y el Sr. ministro provicional D. Gumesindo Layja,,,,,,,"Sinaloa (Mexico : State), Governor",,,,,,,,,,,,,1836,,,Caption title,"At end: Culiacàn, Febrero 24 de 1836, = Pedro Sanchez",,,,,,"Levies a fine of 200 pesos on Layja because of a letter written by him, and includes the text of the letter",text,[3] pages , 32 cm,"Culiacan Mexico, Imprenta del Gobierno á cargo del C.A. Guemez",,,"Sánchez Gómez, Pedro","Layja, Gumesindo",,,,,,,,,,,,,,,,,
41,b34088052,b3408805,n,N65537#26,Object,,,text,,,Se autoriza al Ejecutivo para que por el Ministerio de Fomento expida los correspondientes títulos de propiedad de terrenos baldíos en la Baja-California,,,El C. Presidente de la República se ha servido dirigirme el decreto que sigue,"Sebastian Lerdo de Tejada, Presidente constitucional de los Estados-Unidos Mexicanos, á sus habitantes, sabed",Sandoval,,Mexico,"Mexico, Secretaría de Fomento, Colonización, Industria y Comercio",,,,,,,,,,,,1874,,,"At head of title: El C. Presidente de la República se ha servido dirigirme el decreto que sigue: Sebastian Lerdo de Tejada, Presidente constitucional de los Estados-Unidos Mexicanos, á sus habitantes, sabed:","Dated: México, Diciembre 14 de 1874",Signed: Balcárcel,,,,,,text,1 sheet , 33 x 22 cm,"México, Ministerio de Fomento, Colonizacion, Industria y Comercio de la Republica Mexicana, Seccion 1a",,,"Balcárcel, Blas, 1835(?]-1899",,,,,,,,,,,,,,,,,,
